WKT,csquare_area,surface_sar,subsurface_sar,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-40.75 62.15,-40.75 62.2,-40.7 62.2,-40.7 62.15,-40.75 62.15))",14.4281152242855,21.2076696233178,1.65419823061879,Greenland Sea,53A3,7604:120:217:3,62.175,-40.725
"POLYGON ((-40.35 62.85,-40.35 62.9,-40.3 62.9,-40.3 62.85,-40.35 62.85))",14.0930691747206,155.816620882448,12.153696428831,Greenland Sea,54A3,7604:120:383:3,62.875,-40.325
"POLYGON ((-40.5 62.8,-40.5 62.85,-40.45 62.85,-40.45 62.8,-40.5 62.8))",14.1170713898154,17.0020847704404,1.32616261209435,Greenland Sea,54A3,7604:120:384:2,62.825,-40.475
"POLYGON ((-29.85 65.8,-29.85 65.85,-29.8 65.85,-29.8 65.8,-29.85 65.8))",12.6585716654865,28.6849146586243,2.2374233433727,Greenland Sea,60C0,7602:459:488:1,65.825,-29.825
"POLYGON ((-30.35 65.45,-30.35 65.5,-30.3 65.5,-30.3 65.45,-30.35 65.45))",12.8305953632785,58.5345752380925,4.56569686857121,Greenland Sea,59B9,7603:350:143:3,65.475,-30.325
"POLYGON ((-30.1 65.6,-30.1 65.65,-30.05 65.65,-30.05 65.6,-30.1 65.6))",12.7569291736401,159.124568149848,12.4117163156881,Greenland Sea,60B9,7603:350:360:2,65.625,-30.075
"POLYGON ((-33.35 64.55,-33.35 64.6,-33.3 64.6,-33.3 64.55,-33.35 64.55))",13.2707281432562,2.93610324764286,0.229016053316143,Greenland Sea,58B6,7603:143:353:3,64.575,-33.325
"POLYGON ((-34.85 64.45,-34.85 64.5,-34.8 64.5,-34.8 64.45,-34.85 64.45))",13.319431643395,3.82898057955976,0.298660485205661,Greenland Sea,57B5,7603:144:248:3,64.475,-34.825
"POLYGON ((-35 64.45,-35 64.5,-34.95 64.5,-34.95 64.45,-35 64.45))",13.319431643395,4.48556298793928,0.349873913059264,Greenland Sea,57B5,7603:144:249:4,64.475,-34.975
"POLYGON ((-39.65 63.2,-39.65 63.25,-39.6 63.25,-39.6 63.2,-39.65 63.2))",13.9247541841072,421.8984814572,32.9080815536616,Greenland Sea,55B0,7603:239:226:1,63.225,-39.625
"POLYGON ((-39.8 63.2,-39.8 63.25,-39.75 63.25,-39.75 63.2,-39.8 63.2))",13.9247541841072,474.791392142955,37.0337285871505,Greenland Sea,55B0,7603:239:227:2,63.225,-39.775
"POLYGON ((-39.85 63.2,-39.85 63.25,-39.8 63.25,-39.8 63.2,-39.85 63.2))",13.9247541841072,317.239535991848,24.7446838073642,Greenland Sea,55B0,7603:239:228:1,63.225,-39.825
"POLYGON ((-35.15 64.4,-35.15 64.45,-35.1 64.45,-35.1 64.4,-35.15 64.4))",13.3437681877451,17.9095286307117,1.39694323319551,Greenland Sea,57B4,7603:245:141:1,64.425,-35.125
"POLYGON ((-35.25 64.4,-35.25 64.45,-35.2 64.45,-35.2 64.4,-35.25 64.4))",13.3437681877451,70.0879020627464,5.46685636089422,Greenland Sea,57B4,7603:245:142:1,64.425,-35.225
"POLYGON ((-35.3 64.4,-35.3 64.45,-35.25 64.45,-35.25 64.4,-35.3 64.4))",13.3437681877451,69.4578240808471,5.41771027830607,Greenland Sea,57B4,7603:245:142:2,64.425,-35.275
"POLYGON ((-35.4 64.45,-35.4 64.5,-35.35 64.5,-35.35 64.45,-35.4 64.45))",13.319431643395,12.9561261376275,1.01057783873495,Greenland Sea,57B4,7603:245:143:4,64.475,-35.375
"POLYGON ((-35.6 64.25,-35.6 64.3,-35.55 64.3,-35.55 64.25,-35.6 64.25))",13.4167167755408,8.82863185544327,0.688633284724575,Greenland Sea,57B4,7603:245:225:4,64.275,-35.575
"POLYGON ((-35.7 64.25,-35.7 64.3,-35.65 64.3,-35.65 64.25,-35.7 64.25))",13.4167167755408,17.5281901457485,1.36719883136838,Greenland Sea,57B4,7603:245:226:4,64.275,-35.675
"POLYGON ((-35.7 64.3,-35.7 64.35,-35.65 64.35,-35.65 64.3,-35.7 64.3))",13.3924107723397,95.5919387667506,7.45617122380655,Greenland Sea,57B4,7603:245:236:2,64.325,-35.675
"POLYGON ((-35.35 64.5,-35.35 64.55,-35.3 64.55,-35.3 64.5,-35.35 64.5))",13.2950849557184,2.53996102412836,0.198116959882012,Greenland Sea,58B4,7603:245:353:1,64.525,-35.325
"POLYGON ((-39.35 63.25,-39.35 63.3,-39.3 63.3,-39.3 63.25,-39.35 63.25))",13.9006666216198,255.982093373301,19.9666032831175,Greenland Sea,55B0,7603:239:123:3,63.275,-39.325
"POLYGON ((-39.5 63.25,-39.5 63.3,-39.45 63.3,-39.45 63.25,-39.5 63.25))",13.9006666216198,845.308155078527,65.9340360961251,Greenland Sea,55B0,7603:239:124:4,63.275,-39.475
"POLYGON ((-40.7 62.05,-40.7 62.1,-40.65 62.1,-40.65 62.05,-40.7 62.05))",14.4758043080429,25.8630538470158,2.01731820006723,Greenland Sea,53A3,7604:120:206:4,62.075,-40.675
"POLYGON ((-40.55 62.1,-40.55 62.15,-40.5 62.15,-40.5 62.1,-40.55 62.1))",14.4519652690644,343.782369198912,26.8150247975152,Greenland Sea,53A3,7604:120:215:1,62.125,-40.525
"POLYGON ((-40.6 62.15,-40.6 62.2,-40.55 62.2,-40.55 62.15,-40.6 62.15))",14.4281152242855,251.93753567769,19.6511277828598,Greenland Sea,53A3,7604:120:215:4,62.175,-40.575
"POLYGON ((-40.65 62.1,-40.65 62.15,-40.6 62.15,-40.6 62.1,-40.65 62.1))",14.4519652690644,1511.90411603496,117.928521050727,Greenland Sea,53A3,7604:120:216:1,62.125,-40.625
