WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-37.05 64.4,-37.05 64.45,-37 64.45,-37 64.4,-37.05 64.4))",Otter,4.03333333333333,Greenland Sea,57B2,7603:247:140:1,64.425,-37.025
"POLYGON ((-26.1 67.4,-26.1 67.45,-26.05 67.45,-26.05 67.4,-26.1 67.4))",Otter,0.9,Greenland Sea,63C3,7602:476:140:2,67.425,-26.075
"POLYGON ((-39.7 62.95,-39.7 63.0,-39.65 63.0,-39.65 62.95,-39.7 62.95))",Otter,0.911916666666667,Greenland Sea,54B0,7603:229:496:4,62.975,-39.675
"POLYGON ((-25.95 67.55,-25.95 67.6,-25.9 67.6,-25.9 67.55,-25.95 67.55))",Otter,4.2,Greenland Sea,64C4,7602:475:459:3,67.575,-25.925
"POLYGON ((-29.55 65.75,-29.55 65.8,-29.5 65.8,-29.5 65.75,-29.55 65.75))",Otter,12.87646,Greenland Sea,60C0,7602:459:475:3,65.775,-29.525
"POLYGON ((-30.2 66.45,-30.2 66.5,-30.15 66.5,-30.15 66.45,-30.2 66.45))",Otter,0.456,Greenland Sea,61B9,7603:360:141:4,66.475,-30.175
"POLYGON ((-31.25 65.6,-31.25 65.65,-31.2 65.65,-31.2 65.6,-31.25 65.6))",Otter,0.608375,Greenland Sea,60B8,7603:351:362:1,65.625,-31.225
"POLYGON ((-30.15 65.5,-30.15 65.55,-30.1 65.55,-30.1 65.5,-30.15 65.5))",Otter,8.97082,Greenland Sea,60B9,7603:350:351:1,65.525,-30.125
"POLYGON ((-40.35 62.15,-40.35 62.2,-40.3 62.2,-40.3 62.15,-40.35 62.15))",Otter,16.2283333333333,Greenland Sea,53A3,7604:120:113:3,62.175,-40.325
"POLYGON ((-40.7 62.45,-40.7 62.5,-40.65 62.5,-40.65 62.45,-40.7 62.45))",Otter,0.9,Greenland Sea,53A3,7604:120:246:4,62.475,-40.675
"POLYGON ((-29.9 65.6,-29.9 65.65,-29.85 65.65,-29.85 65.6,-29.9 65.6))",Otter,15.70082,Greenland Sea,60C0,7602:459:468:2,65.625,-29.875
"POLYGON ((-37.9 63.55,-37.9 63.6,-37.85 63.6,-37.85 63.55,-37.9 63.55))",Otter,0.633333333333333,Greenland Sea,56B2,7603:237:458:4,63.575,-37.875
"POLYGON ((-40.35 62.45,-40.35 62.5,-40.3 62.5,-40.3 62.45,-40.35 62.45))",Otter,0.75,Greenland Sea,53A3,7604:120:143:3,62.475,-40.325
"POLYGON ((-40.4 62.1,-40.4 62.15,-40.35 62.15,-40.35 62.1,-40.4 62.1))",Otter,0.78,Greenland Sea,53A3,7604:120:113:2,62.125,-40.375
"POLYGON ((-31 65.65,-31 65.7,-30.95 65.7,-30.95 65.65,-31 65.65))",Otter,0.58875,Greenland Sea,60B9,7603:350:469:4,65.675,-30.975
"POLYGON ((-35.8 64.3,-35.8 64.35,-35.75 64.35,-35.75 64.3,-35.8 64.3))",Otter,11.5033333333333,Greenland Sea,57B4,7603:245:237:2,64.325,-35.775
"POLYGON ((-25.1 68.2,-25.1 68.25,-25.05 68.25,-25.05 68.2,-25.1 68.2))",Otter,0.9,Greenland Sea,65C4,7602:485:120:2,68.225,-25.075
"POLYGON ((-35.7 64.8,-35.7 64.85,-35.65 64.85,-35.65 64.8,-35.7 64.8))",Otter,1.03333333333333,Greenland Sea,58B4,7603:245:486:2,64.825,-35.675
"POLYGON ((-35 64.45,-35 64.5,-34.95 64.5,-34.95 64.45,-35 64.45))",Otter,0.8825,Greenland Sea,57B5,7603:144:249:4,64.475,-34.975
"POLYGON ((-39.25 63.6,-39.25 63.65,-39.2 63.65,-39.2 63.6,-39.25 63.6))",Otter,0.9,Greenland Sea,56B0,7603:239:362:1,63.625,-39.225
"POLYGON ((-39.45 63.6,-39.45 63.65,-39.4 63.65,-39.4 63.6,-39.45 63.6))",Otter,0.255,Greenland Sea,56B0,7603:239:364:1,63.625,-39.425
"POLYGON ((-30.8 66.25,-30.8 66.3,-30.75 66.3,-30.75 66.25,-30.8 66.25))",Otter,0.58875,Greenland Sea,61B9,7603:360:227:4,66.275,-30.775
"POLYGON ((-31.15 65.5,-31.15 65.55,-31.1 65.55,-31.1 65.5,-31.15 65.5))",Otter,5.2391,Greenland Sea,60B8,7603:351:351:1,65.525,-31.125
"POLYGON ((-31.3 65.45,-31.3 65.5,-31.25 65.5,-31.25 65.45,-31.3 65.45))",Otter,0.9,Greenland Sea,59B8,7603:351:142:4,65.475,-31.275
"POLYGON ((-30.45 65.55,-30.45 65.6,-30.4 65.6,-30.4 65.55,-30.45 65.55))",Otter,4.89532,Greenland Sea,60B9,7603:350:354:3,65.575,-30.425
"POLYGON ((-24.6 68.4,-24.6 68.45,-24.55 68.45,-24.55 68.4,-24.6 68.4))",Otter,1.83,Greenland Sea,65C5,7602:384:245:2,68.425,-24.575
"POLYGON ((-40.35 62.25,-40.35 62.3,-40.3 62.3,-40.3 62.25,-40.35 62.25))",Otter,0.775,Greenland Sea,53A3,7604:120:123:3,62.275,-40.325
"POLYGON ((-40.95 61.8,-40.95 61.85,-40.9 61.85,-40.9 61.8,-40.95 61.8))",Otter,0.775,Greenland Sea,52A3,7604:110:489:1,61.825,-40.925
